749	0	2347
1410	1	2348
1037	1	2348
1088	0	2349
1391	1	2348
1437	2	2350
437	1	2351
766	2	2350
1010	3	2352
1057	2	2350
1377	4	2353
1955	2	2354
1702	0	2355
396	4	2356
4	1	2348
554	0	2357
1061	5	2358
137	1	2348
217	6	2359
185	2	2350
51	3	2360
1333	4	2353
1189	2	2361
1825	2	2362
2317	6	2363
712	2	2364
1801	0	2365
1503	0	2366
1176	2	2367
1889	2	2368
487	0	2369
358	5	2358
694	3	2370
860	2	2371
9	3	2372
1555	5	2373
2100	4	2353
2345	0	2374
738	2	2375
2117	1	2348
8	4	2376
828	2	2350
814	6	2377
1748	4	2353
1150	1	2348
911	5	2358
1558	5	2358
2015	2	2378
1805	4	2353
610	0	2379
1574	6	2380
1784	1	2381
1490	0	2382
1869	4	2353
1055	2	2361
1055	5	2358
1393	3	2383
61	1	2348
920	6	2384
804	5	2373
155	0	2385
486	2	2386
772	5	2358
290	3	2387
1151	3	2388
1514	2	2350
1987	0	2389
1879	4	2353
1029	4	2353
1106	2	2390
2287	6	2391
150	6	2392
1413	6	2393
2238	0	2394
1003	0	2395
440	0	2396
2240	4	2397
753	2	2398
449	3	2399
1711	3	2400
1273	4	2353
974	2	2361
520	4	2353
853	3	2401
1349	3	2402
691	2	2403
564	2	2375
2014	2	2404
169	0	2405
929	0	2406
1298	2	2367
1191	5	2358
1601	0	2407
1042	5	2373
2076	0	2408
261	0	2409
2147	2	2410
1161	0	2411
2155	2	2404
871	4	2353
786	1	2412
1564	4	2413
2197	6	2414
1200	2	2378
806	6	2415
802	0	2416
431	1	2348
1238	5	2417
648	6	2418
384	4	2353
2317	4	2353
1815	1	2348
1270	0	2419
1731	3	2420
964	2	2361
111	6	2421
222	5	2417
2005	1	2348
11	6	2422
544	6	2423
392	3	2424
1930	0	2425
2327	3	2426
1493	5	2358
2253	6	2427
1836	4	2413
28	2	2398
787	4	2376
1893	2	2350
590	6	2428
2278	6	2429
8	1	2381
278	0	2430
2128	0	2431
1991	2	2350
790	0	2432
960	2	2367
1728	3	2433
2307	0	2434
2221	0	2435
944	2	2386
1234	5	2373
1353	1	2348
1732	0	2436
1763	1	2348
1053	5	2417
434	2	2350
258	6	2437
1327	2	2350
1342	2	2361
1328	2	2350
1551	2	2361
1379	0	2438
1807	6	2439
182	0	2440
1211	4	2353
2127	3	2441
2127	0	2442
1873	2	2350
2331	2	2350
474	1	2348
313	4	2353
727	6	2443
1896	4	2376
1241	3	2444
999	2	2361
1957	0	2445
721	3	2446
2095	6	2447
865	2	2350
791	1	2348
768	5	2373
1408	3	2448
950	3	2449
1750	4	2353
239	4	2353
705	1	2450
205	6	2451
1467	0	2452
780	6	2453
702	2	2361
240	1	2381
247	1	2348
1371	2	2354
1504	2	2361
376	2	2398
2299	3	2454
390	4	2376
1245	6	2455
282	5	2373
388	4	2353
891	4	2353
348	2	2390
2255	5	2417
769	5	2358
1144	4	2353
44	0	2456
2139	1	2348
1175	3	2457
792	3	2458
2001	6	2459
1366	5	2358
441	2	2460
878	0	2461
1370	6	2462
2202	5	2358
425	2	2367
1967	4	2413
1967	2	2375
2103	2	2398
1714	1	2463
444	0	2464
1020	4	2353
1176	2	2378
1284	4	2353
1613	1	2348
11	5	2373
115	2	2465
1834	2	2361
1232	0	2466
2223	4	2353
1264	4	2353
1392	5	2417
992	0	2467
1925	2	2354
362	2	2361
157	2	2468
279	2	2350
844	1	2469
219	0	2470
1814	4	2353
879	2	2371
421	6	2471
1656	4	2353
2164	1	2381
1809	0	2472
2315	2	2361
1732	2	2361
672	0	2473
970	6	2474
1135	6	2475
535	0	2476
68	4	2477
